<n>th Data : <REAL>|<RESULT>
 7715 th Data >> 5|5
 5456 th Data >> 9|9
 4959 th Data >> 0|0
 8320 th Data >> 2|2
 9790 th Data >> 3|3
 7974 th Data >> 5|5
 2094 th Data >> 4|4
 3084 th Data >> 7|7
 7983 th Data >> 3|3
 3457 th Data >> 1|1
 2887 th Data >> 7|7
 3444 th Data >> 4|4
 6807 th Data >> 9|9
 2055 th Data >> 2|2
 4034 th Data >> 0|0
 7613 th Data >> 6|6
 6475 th Data >> 4|4
 1678 th Data >> 2|2
 4867 th Data >> 5|5
 7664 th Data >> 4|4
 6033 th Data >> 6|6
 1762 th Data >> 0|0
 9330 th Data >> 8|8
 2528 th Data >> 9|9
 7940 th Data >> 7|7
 8976 th Data >> 1|1
 4844 th Data >> 5|5
 6645 th Data >> 2|2
  116 th Data >> 4|4
 8126 th Data >> 9|9
 7937 th Data >> 4|4
 3385 th Data >> 9|9
 8927 th Data >> 8|8
 3242 th Data >> 0|0
 5579 th Data >> 5|5
  609 th Data >> 2|2
 5522 th Data >> 8|8
  219 th Data >> 5|5
 6678 th Data >> 1|1
 3890 th Data >> 5|5
 9258 th Data >> 1|1
 2333 th Data >> 0|0
 7416 th Data >> 7|7
 6152 th Data >> 4|4
 6450 th Data >> 8|8
 2250 th Data >> 9|9
 9992 th Data >> 9|9
 6484 th Data >> 1|1
  525 th Data >> 0|0
 4044 th Data >> 3|3
 5668 th Data >> 5|5
 3628 th Data >> 2|2
 9163 th Data >> 3|3
  758 th Data >> 9|9
 2360 th Data >> 6|6
 6383 th Data >> 0|0
 7404 th Data >> 6|6
  356 th Data >> 5|5
 4572 th Data >> 8|8
 2293 th Data >> 9|6
  773 th Data >> 9|9
 9872 th Data >> 3|3
 2809 th Data >> 8|8
 7115 th Data >> 2|2
 1801 th Data >> 9|9
 4918 th Data >> 9|9
  222 th Data >> 2|2
 3785 th Data >> 2|2
 1146 th Data >> 5|5
 4494 th Data >> 3|3
 2588 th Data >> 7|7
 3200 th Data >> 9|9
 3542 th Data >> 4|4
 8323 th Data >> 2|2
 8927 th Data >> 8|8
 8121 th Data >> 4|4
 4719 th Data >> 1|1
 9047 th Data >> 4|4
 2029 th Data >> 5|5
 4643 th Data >> 1|1
 1677 th Data >> 5|5
 5082 th Data >> 4|4
 2925 th Data >> 5|5
 9455 th Data >> 0|0
 9149 th Data >> 6|6
 5460 th Data >> 1|1
 5924 th Data >> 2|2
 5381 th Data >> 2|2
 4484 th Data >> 6|6
 5789 th Data >> 7|7
 3078 th Data >> 3|3
 2409 th Data >> 1|1
 2514 th Data >> 4|4
 4737 th Data >> 8|6
 9085 th Data >> 5|5
 5846 th Data >> 8|8
 1240 th Data >> 1|1
 2843 th Data >> 7|7
 4712 th Data >> 5|5
 5453 th Data >> 1|1
 8987 th Data >> 5|5
 3643 th Data >> 7|7
 7922 th Data >> 2|2
 8424 th Data >> 2|2
 9919 th Data >> 7|7
 7612 th Data >> 5|5
 4208 th Data >> 0|0
 9956 th Data >> 1|1
 4231 th Data >> 8|8
 7753 th Data >> 6|6
 3633 th Data >> 8|8
 3615 th Data >> 4|4
 3160 th Data >> 9|4
 6415 th Data >> 5|5
 4333 th Data >> 9|9
 4080 th Data >> 0|0
 9821 th Data >> 3|3
 3382 th Data >> 6|6
 5660 th Data >> 6|6
 7147 th Data >> 2|2
 4330 th Data >> 5|5
 6698 th Data >> 2|2
 7216 th Data >> 0|0
 8050 th Data >> 3|3
  968 th Data >> 4|4
 9966 th Data >> 6|6
 1906 th Data >> 9|9
 9236 th Data >> 0|0
 7829 th Data >> 3|3
 3464 th Data >> 1|1
 4595 th Data >> 1|1
 1425 th Data >> 8|9
 8851 th Data >> 0|0
 8386 th Data >> 5|5
 7625 th Data >> 0|0
 3832 th Data >> 2|2
 2426 th Data >> 9|9
 7770 th Data >> 8|8
 6827 th Data >> 9|9
 3817 th Data >> 2|2
 8298 th Data >> 9|9
 4513 th Data >> 8|8
 1525 th Data >> 5|5
 5813 th Data >> 9|9
 4862 th Data >> 0|0
 6506 th Data >> 1|1
 4675 th Data >> 0|0
 2876 th Data >> 6|6
  850 th Data >> 1|1
 5931 th Data >> 2|2
 6737 th Data >> 4|4
 2087 th Data >> 0|0
 9450 th Data >> 8|8
 3090 th Data >> 0|0
 8586 th Data >> 1|1
 2656 th Data >> 0|0
 3408 th Data >> 5|5
 8404 th Data >> 9|9
 1449 th Data >> 9|9
 8551 th Data >> 3|3
 4092 th Data >> 8|8
 8589 th Data >> 4|4
 1115 th Data >> 5|5
 9227 th Data >> 3|3
 9196 th Data >> 7|7
 6977 th Data >> 5|5
 8538 th Data >> 1|1
 3706 th Data >> 0|0
 3803 th Data >> 0|0
 8108 th Data >> 2|2
 5097 th Data >> 7|7
 1178 th Data >> 4|4
 7707 th Data >> 9|9
 4974 th Data >> 4|4
 2299 th Data >> 2|7
 2568 th Data >> 0|0
 2403 th Data >> 0|0
 7685 th Data >> 2|2
  467 th Data >> 2|2
 9545 th Data >> 5|5
 1126 th Data >> 7|7
 5270 th Data >> 0|0
 2681 th Data >> 3|3
 9488 th Data >> 0|0
  273 th Data >> 9|9
 8632 th Data >> 5|5
 4542 th Data >> 0|0
 2803 th Data >> 1|1
 3230 th Data >> 1|1
 2356 th Data >> 1|1
  389 th Data >> 9|9
 9817 th Data >> 8|8
  976 th Data >> 3|3
  214 th Data >> 9|9
 3850 th Data >> 9|9
 9743 th Data >> 7|7
 3087 th Data >> 0|0
 1338 th Data >> 1|1
 2837 th Data >> 7|7
 2714 th Data >> 0|0
 6572 th Data >> 1|1
 4697 th Data >> 7|7
  740 th Data >> 4|9
 3847 th Data >> 0|0
   53 th Data >> 5|5
 9534 th Data >> 7|7
 9720 th Data >> 6|6
 6683 th Data >> 1|1
  127 th Data >> 5|5
 4524 th Data >> 1|1
 9118 th Data >> 2|2
 3850 th Data >> 9|9
 8407 th Data >> 3|3
 7652 th Data >> 9|9
 9952 th Data >> 0|0
 1984 th Data >> 2|0
 1817 th Data >> 2|2
 9030 th Data >> 1|1
 6097 th Data >> 0|0
 9469 th Data >> 7|7
 2180 th Data >> 5|5
 2599 th Data >> 1|1
 1066 th Data >> 3|3
 6399 th Data >> 6|6
 6264 th Data >> 0|0
 5889 th Data >> 1|1
 5273 th Data >> 3|3
  330 th Data >> 1|1
 9229 th Data >> 3|3
 6363 th Data >> 7|7
 5494 th Data >> 2|2
 8194 th Data >> 0|0
 5014 th Data >> 1|1
 2177 th Data >> 8|3
 5030 th Data >> 6|6
 2905 th Data >> 8|8
 5254 th Data >> 1|1
 9159 th Data >> 5|5
 7317 th Data >> 0|0
  544 th Data >> 4|4
 7543 th Data >> 3|3
 4648 th Data >> 9|9
 5056 th Data >> 5|5
 8450 th Data >> 2|2
 5111 th Data >> 5|5
   53 th Data >> 5|5
 8288 th Data >> 9|9
 1029 th Data >> 8|8
 8244 th Data >> 1|1
 1595 th Data >> 7|7
 5939 th Data >> 7|7
 5294 th Data >> 4|4
 5498 th Data >> 7|7
 2939 th Data >> 9|5
 7369 th Data >> 8|8
   11 th Data >> 6|6
 7894 th Data >> 2|2
 5217 th Data >> 2|2
 4564 th Data >> 1|1
 2267 th Data >> 6|6
 5157 th Data >> 2|2
 2814 th Data >> 5|5
 5041 th Data >> 8|8
 4485 th Data >> 7|7
 1116 th Data >> 4|4
 8626 th Data >> 4|4
 4049 th Data >> 7|7
 7237 th Data >> 2|2
 7340 th Data >> 1|1
 5319 th Data >> 4|4
 9867 th Data >> 2|8
 3738 th Data >> 3|3
  453 th Data >> 3|3
 5399 th Data >> 1|1
 3218 th Data >> 6|6
 5001 th Data >> 9|4
 5454 th Data >> 3|3
  719 th Data >> 4|4
 6207 th Data >> 6|6
 9027 th Data >> 3|3
 4382 th Data >> 4|9
 8498 th Data >> 2|2
 5368 th Data >> 0|0
 3569 th Data >> 5|5
 3674 th Data >> 8|8
 5618 th Data >> 5|5
 4729 th Data >> 1|1
 8391 th Data >> 7|7
 7881 th Data >> 1|1
 9302 th Data >> 7|7
 8715 th Data >> 1|1
 7358 th Data >> 6|6
 2025 th Data >> 3|3
 8121 th Data >> 4|4
 7342 th Data >> 0|0
 1207 th Data >> 2|2
 5438 th Data >> 8|8
 2237 th Data >> 5|8
 6371 th Data >> 3|3
 4279 th Data >> 2|2
 1272 th Data >> 5|5
 4337 th Data >> 1|1
 4739 th Data >> 0|0
 5934 th Data >> 2|2
 9720 th Data >> 6|6
 9138 th Data >> 6|6
 6089 th Data >> 7|7
 3774 th Data >> 0|0
 2626 th Data >> 1|1
 5402 th Data >> 7|7
 3471 th Data >> 1|1
 9080 th Data >> 0|0
 2332 th Data >> 7|7
 7535 th Data >> 9|9
 7658 th Data >> 1|1
 5151 th Data >> 4|4
  969 th Data >> 4|4
 9311 th Data >> 0|0
 8830 th Data >> 2|2
 9412 th Data >> 4|4
 9590 th Data >> 5|5
 4343 th Data >> 0|0
  320 th Data >> 9|7
 4562 th Data >> 2|2
 9297 th Data >> 0|0
 8095 th Data >> 4|1
 8411 th Data >> 3|3
 8677 th Data >> 6|6
 4250 th Data >> 2|2
 5861 th Data >> 7|7
 4115 th Data >> 2|2
 4214 th Data >> 7|7
  660 th Data >> 4|4
  667 th Data >> 7|1
 2378 th Data >> 0|0
  366 th Data >> 6|6
 8827 th Data >> 9|9
 6234 th Data >> 2|2
 5488 th Data >> 5|5
 4395 th Data >> 6|6
 5344 th Data >> 9|9
 1405 th Data >> 5|5
 2092 th Data >> 2|2
  290 th Data >> 8|8
 1856 th Data >> 3|3
 9097 th Data >> 2|2
 3514 th Data >> 2|2
 7691 th Data >> 8|8
   40 th Data >> 1|1
 6746 th Data >> 5|5
 4090 th Data >> 0|0
 3411 th Data >> 9|9
 1355 th Data >> 7|7
 9119 th Data >> 5|5
 8844 th Data >> 2|2
 6089 th Data >> 7|7
 7516 th Data >> 0|0
 2225 th Data >> 8|8
   26 th Data >> 7|7
 3523 th Data >> 4|4
 1434 th Data >> 1|1
 8954 th Data >> 4|4
 7988 th Data >> 5|5
 2098 th Data >> 2|0
 3981 th Data >> 9|9
 7613 th Data >> 6|6
 6162 th Data >> 1|1
 4715 th Data >> 7|7
 2573 th Data >> 5|5
 2701 th Data >> 4|4
 4015 th Data >> 9|9
 5033 th Data >> 0|0
 6264 th Data >> 0|0
 9539 th Data >> 9|9
 2054 th Data >> 9|9
 9857 th Data >> 8|8
  168 th Data >> 1|1
 1605 th Data >> 3|3
 3352 th Data >> 7|7
 5495 th Data >> 8|8
 2125 th Data >> 5|5
 8855 th Data >> 5|5
 8946 th Data >> 3|3
 6365 th Data >> 3|3
 9354 th Data >> 8|8
 9474 th Data >> 3|3
 2096 th Data >> 0|0
 4157 th Data >> 0|0
  435 th Data >> 8|8
  935 th Data >> 5|5
 6405 th Data >> 5|5
 2360 th Data >> 6|6
 2719 th Data >> 1|1
 5599 th Data >> 6|6
 6231 th Data >> 1|1
 7542 th Data >> 5|5
 8933 th Data >> 9|9
 9591 th Data >> 1|1
 4811 th Data >> 7|7
 5315 th Data >> 9|9
  309 th Data >> 3|3
 6471 th Data >> 7|7
 5008 th Data >> 0|0
 2430 th Data >> 8|3
 9336 th Data >> 1|1
 4097 th Data >> 3|3
 4707 th Data >> 8|8
 9975 th Data >> 3|3
 3653 th Data >> 4|4
 7936 th Data >> 3|3
  272 th Data >> 1|1
 7168 th Data >> 0|0
 4707 th Data >> 8|8
 6030 th Data >> 3|3
 9043 th Data >> 2|2
 5909 th Data >> 6|6
 2887 th Data >> 7|7
 8662 th Data >> 4|4
 8625 th Data >> 2|2
 3205 th Data >> 8|8
 8511 th Data >> 4|4
 9775 th Data >> 6|6
 3129 th Data >> 3|3
 9591 th Data >> 1|1
 2383 th Data >> 6|6
 2364 th Data >> 3|3
 2608 th Data >> 8|8
 8198 th Data >> 2|2
 4102 th Data >> 7|7
 8071 th Data >> 4|4
 8527 th Data >> 4|9
 3575 th Data >> 7|7
 7884 th Data >> 9|9
  434 th Data >> 9|9
 7619 th Data >> 2|2
 1111 th Data >> 4|4
 2686 th Data >> 5|5
 4716 th Data >> 2|2
 4839 th Data >> 8|8
 2427 th Data >> 3|3
 3851 th Data >> 1|1
 8614 th Data >> 0|0
 5975 th Data >> 4|4
 8550 th Data >> 2|2
 6940 th Data >> 3|3
  880 th Data >> 7|7
 7174 th Data >> 9|9
  184 th Data >> 8|8
 8305 th Data >> 1|1
 1945 th Data >> 1|1
 8396 th Data >> 1|1
 6395 th Data >> 8|8
 1577 th Data >> 6|6
 5462 th Data >> 8|8
 4648 th Data >> 9|9
 6170 th Data >> 7|7
 4887 th Data >> 0|0
  542 th Data >> 8|1
 4376 th Data >> 8|8
 1221 th Data >> 5|5
 5799 th Data >> 2|2
 7804 th Data >> 3|3
 7172 th Data >> 6|6
 6264 th Data >> 0|0
 9464 th Data >> 1|1
 2445 th Data >> 5|5
 4393 th Data >> 3|3
  767 th Data >> 1|1
 4827 th Data >> 4|4
  665 th Data >> 6|6
 2705 th Data >> 1|1
  174 th Data >> 2|2
 6135 th Data >> 1|1
 2268 th Data >> 7|7
 4217 th Data >> 4|4
 3749 th Data >> 6|6
 6564 th Data >> 3|3
   33 th Data >> 4|4
 8221 th Data >> 0|0
  181 th Data >> 8|8
 4938 th Data >> 7|7
 2277 th Data >> 1|1
 2953 th Data >> 3|3
 9767 th Data >> 9|9
 3207 th Data >> 2|2
 8042 th Data >> 6|6
 1857 th Data >> 6|6
 2163 th Data >> 8|8
 5355 th Data >> 4|4
  955 th Data >> 5|5
 2007 th Data >> 4|4
 9681 th Data >> 8|8
 8365 th Data >> 2|2
 7734 th Data >> 7|7
 4782 th Data >> 3|3
 6228 th Data >> 9|9
  391 th Data >> 8|8
 4517 th Data >> 2|2
 7860 th Data >> 6|6
 1915 th Data >> 2|2
 5800 th Data >> 9|9
 5524 th Data >> 1|1
 9111 th Data >> 2|2
 1259 th Data >> 8|8
 9313 th Data >> 1|1
 4772 th Data >> 4|4
 6163 th Data >> 0|0
  209 th Data >> 9|9
 3375 th Data >> 2|2
  833 th Data >> 9|9
 8158 th Data >> 5|5
 8389 th Data >> 0|0
 8382 th Data >> 0|0
 1872 th Data >> 4|4
  976 th Data >> 3|3
 6397 th Data >> 1|1
 4384 th Data >> 2|2
 6472 th Data >> 1|1
 4252 th Data >> 6|6
 2796 th Data >> 6|6
 4999 th Data >> 0|0
 4107 th Data >> 7|7
 2830 th Data >> 6|6
 2056 th Data >> 8|8
 2238 th Data >> 7|7
  704 th Data >> 0|0
 3792 th Data >> 4|4
 1858 th Data >> 6|6
 5630 th Data >> 1|1
 6957 th Data >> 3|3
 6826 th Data >> 8|8
 3899 th Data >> 2|2
 1826 th Data >> 0|0
 6928 th Data >> 1|1
 3311 th Data >> 5|5
 8493 th Data >> 1|1
 6836 th Data >> 2|2
 8659 th Data >> 1|1
   12 th Data >> 9|9
  806 th Data >> 8|8
 3156 th Data >> 6|6
 1065 th Data >> 2|2
 9822 th Data >> 4|4
 9023 th Data >> 9|9
 2854 th Data >> 9|9
 6922 th Data >> 6|6
 3711 th Data >> 9|9
 4021 th Data >> 1|1
 2282 th Data >> 5|5
 8642 th Data >> 9|9
 3464 th Data >> 1|1
 5092 th Data >> 1|1
 3758 th Data >> 4|4
 1470 th Data >> 8|8
 9580 th Data >> 9|9
 3804 th Data >> 0|0
 1056 th Data >> 2|2
  163 th Data >> 4|4
 4392 th Data >> 0|0
 3498 th Data >> 7|7
 8494 th Data >> 3|3
 5455 th Data >> 2|2
 8290 th Data >> 3|3
 9961 th Data >> 6|6
 9848 th Data >> 1|1
 4796 th Data >> 3|3
 1748 th Data >> 0|0
 3070 th Data >> 1|1
 1061 th Data >> 0|0
 9292 th Data >> 9|9
 1791 th Data >> 1|1
 9086 th Data >> 6|6
 9478 th Data >> 5|5
 3834 th Data >> 3|3
 8855 th Data >> 5|5
 5766 th Data >> 3|3
 4231 th Data >> 8|8
 7974 th Data >> 5|5
 9907 th Data >> 5|5
 3813 th Data >> 8|8
 4694 th Data >> 6|6
 5063 th Data >> 4|4
 4317 th Data >> 3|5
  352 th Data >> 5|5
 4818 th Data >> 3|3
 7324 th Data >> 5|5
  699 th Data >> 3|3
  675 th Data >> 1|1
 4231 th Data >> 8|8
 6449 th Data >> 7|7
 8632 th Data >> 5|5
  865 th Data >> 3|3
 7822 th Data >> 1|1
 5158 th Data >> 3|3
 2670 th Data >> 5|5
 2408 th Data >> 3|3
 7986 th Data >> 2|2
 1331 th Data >> 5|5
 4363 th Data >> 9|9
 6238 th Data >> 8|8
   84 th Data >> 8|8
 4677 th Data >> 7|7
 4405 th Data >> 9|9
 9688 th Data >> 0|0
 1808 th Data >> 0|0
 2593 th Data >> 0|0
  910 th Data >> 4|4
 9984 th Data >> 1|1
 9687 th Data >> 0|0
 3218 th Data >> 6|6
 4278 th Data >> 0|0
 5690 th Data >> 6|6
 7773 th Data >> 2|2
 2661 th Data >> 1|1
 4798 th Data >> 6|6
 2457 th Data >> 4|4
 9822 th Data >> 4|4
 6286 th Data >> 0|0
 8252 th Data >> 1|1
 9718 th Data >> 4|4
 3774 th Data >> 0|0
 8618 th Data >> 8|8
 9182 th Data >> 3|3
 3543 th Data >> 4|4
 1767 th Data >> 4|4
  360 th Data >> 4|4
 8030 th Data >> 7|7
 3146 th Data >> 3|3
 4622 th Data >> 6|6
 8377 th Data >> 6|6
 3815 th Data >> 1|1
 5303 th Data >> 6|6
 7470 th Data >> 3|3
 6004 th Data >> 8|8
 5060 th Data >> 9|9
 3957 th Data >> 5|5
 5889 th Data >> 1|1
 8394 th Data >> 2|2
 7916 th Data >> 1|1
 1206 th Data >> 7|7
 6788 th Data >> 5|5
 5692 th Data >> 2|2
 1949 th Data >> 7|7
 8750 th Data >> 9|9
 8298 th Data >> 9|9
 1092 th Data >> 3|3
 7279 th Data >> 0|0
 9539 th Data >> 9|9
 6400 th Data >> 0|0
 4107 th Data >> 7|7
 9895 th Data >> 7|7
 1568 th Data >> 8|8
 8096 th Data >> 6|6
 9421 th Data >> 2|2
 9145 th Data >> 2|2
 9160 th Data >> 5|5
 1948 th Data >> 5|5
 4699 th Data >> 6|1
 3332 th Data >> 4|4
 1980 th Data >> 4|4
 4351 th Data >> 0|0
 1074 th Data >> 8|8
 3704 th Data >> 8|8
 9187 th Data >> 8|8
 6242 th Data >> 7|7
 3849 th Data >> 0|0
 6183 th Data >> 2|2
 1771 th Data >> 2|2
 8615 th Data >> 2|2
 2681 th Data >> 3|3
 4991 th Data >> 7|7
 2202 th Data >> 4|4
 8432 th Data >> 1|1
 4899 th Data >> 2|2
 9554 th Data >> 9|9
 2924 th Data >> 3|3
 1674 th Data >> 1|1
 3451 th Data >> 7|7
 5373 th Data >> 9|9
 6210 th Data >> 9|9
 1312 th Data >> 8|8
 1891 th Data >> 2|2
 8377 th Data >> 6|6
 7073 th Data >> 1|1
 1360 th Data >> 1|1
 5641 th Data >> 2|2
 6532 th Data >> 0|0
 6552 th Data >> 4|4
 2591 th Data >> 7|7
 8208 th Data >> 2|2
 2596 th Data >> 2|2
 8834 th Data >> 5|5
 1582 th Data >> 1|1
 9863 th Data >> 8|8
  164 th Data >> 6|6
 9809 th Data >> 0|0
 7633 th Data >> 8|8
 4005 th Data >> 1|1
  103 th Data >> 4|4
  797 th Data >> 5|5
 1997 th Data >> 3|3
 5977 th Data >> 9|9
  937 th Data >> 6|6
  502 th Data >> 5|5
  150 th Data >> 9|9
 7757 th Data >> 7|7
 4069 th Data >> 1|1
 5644 th Data >> 8|8
 4032 th Data >> 1|1
 2040 th Data >> 5|5
  421 th Data >> 2|2
 5224 th Data >> 3|3
 3438 th Data >> 1|1
 7647 th Data >> 7|7
 8371 th Data >> 9|9
  907 th Data >> 1|1
 9613 th Data >> 2|1
 2457 th Data >> 4|4
 2546 th Data >> 5|5
 4984 th Data >> 1|1
   64 th Data >> 7|7
   20 th Data >> 9|9
 9563 th Data >> 8|8
 3597 th Data >> 9|3
 7197 th Data >> 7|7
 8828 th Data >> 6|6
 9564 th Data >> 8|8
 4873 th Data >> 3|3
 8732 th Data >> 6|6
 7844 th Data >> 7|7
 1745 th Data >> 9|9
 8110 th Data >> 7|7
   84 th Data >> 8|8
 1433 th Data >> 8|1
 3733 th Data >> 1|1
 6395 th Data >> 8|8
 8251 th Data >> 0|0
 7709 th Data >> 6|6
 7276 th Data >> 7|7
 1642 th Data >> 2|2
  708 th Data >> 4|4
 5846 th Data >> 8|8
 5207 th Data >> 5|5
 6304 th Data >> 8|8
 8810 th Data >> 2|2
 4067 th Data >> 5|5
 5654 th Data >> 7|7
  683 th Data >> 3|3
 3222 th Data >> 6|6
  875 th Data >> 2|2
 6994 th Data >> 6|6
 8549 th Data >> 1|1
 5020 th Data >> 5|5
 2511 th Data >> 3|3
 4465 th Data >> 4|4
 6541 th Data >> 2|2
 4697 th Data >> 7|7
 8004 th Data >> 1|1
 5207 th Data >> 5|5
 7543 th Data >> 3|3
 9859 th Data >> 7|7
   43 th Data >> 2|1
  968 th Data >> 4|4
 9793 th Data >> 6|6
 9354 th Data >> 8|8
  909 th Data >> 7|7
 2248 th Data >> 2|2
 8675 th Data >> 4|4
 8996 th Data >> 6|6
 3190 th Data >> 9|9
 9417 th Data >> 2|2
 2898 th Data >> 4|4
 9762 th Data >> 3|3
 4630 th Data >> 3|3
 7530 th Data >> 4|4
 6045 th Data >> 3|3
 1789 th Data >> 3|3
 3976 th Data >> 7|1
 7786 th Data >> 9|9
 8867 th Data >> 3|3
 4720 th Data >> 0|0
 7560 th Data >> 4|4
 3164 th Data >> 6|6
 4880 th Data >> 0|0
 7425 th Data >> 4|4
 6126 th Data >> 9|9
 4543 th Data >> 8|8
 4714 th Data >> 3|3
 2004 th Data >> 8|8
 4469 th Data >> 3|3
 4210 th Data >> 9|9
 5648 th Data >> 8|8
 2307 th Data >> 4|4
 6314 th Data >> 5|5
 1708 th Data >> 0|0
 6251 th Data >> 4|4
 7431 th Data >> 3|3
  624 th Data >> 2|2
 7522 th Data >> 6|6
 1314 th Data >> 4|4
 3804 th Data >> 0|0
 5073 th Data >> 9|9
 2187 th Data >> 7|7
 2549 th Data >> 3|3
 7829 th Data >> 3|3
 5908 th Data >> 9|9
   78 th Data >> 9|9
 4064 th Data >> 7|7
===
Accuracy = 96.7%

Process finished with exit code 0
